Geographic Area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit of Measure
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2006,5,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2007,5,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2008,4,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2009,4,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2010,4,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2011,4,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2012,4,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2013,4,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2014,4,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2015,3,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2016,3,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2017,3,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2018,3,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2019,3,Percent
Caribbean,Weight-for-age <-2 SD (Underweight),Total,2020,3,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1985,48,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1986,47,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1987,46,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1988,45,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1989,44,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1990,43,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1991,43,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1992,42,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1993,41,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1994,40,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1995,39,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1996,38,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1997,38,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1998,37,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,1999,36,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2000,35,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2001,34,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2002,34,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2003,33,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2004,32,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2005,31,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2006,31,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2007,30,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2008,29,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2009,28,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2010,28,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2011,27,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2012,26,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2013,26,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2014,25,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2015,24,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2016,24,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2017,23,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2018,23,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2019,22,Percent
Least developed countries (LDCs),Weight-for-age <-2 SD (Underweight),Total,2020,21,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1985,29,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1986,28,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1987,28,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1988,27,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1989,27,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1990,26,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1991,26,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1992,25,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1993,25,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1994,25,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1995,24,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1996,24,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1997,23,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1998,23,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,1999,23,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2000,22,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2001,22,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2002,22,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2003,21,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2004,21,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2005,20,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2006,20,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2007,20,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2008,19,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2009,19,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2010,19,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2011,18,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2012,18,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2013,18,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2014,17,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2015,17,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2016,17,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2017,16,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2018,16,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2019,16,Percent
Sub-Saharan Africa,Weight-for-age <-2 SD (Underweight),Total,2020,16,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1985,54,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1986,53,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1987,52,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1988,51,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1989,51,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1990,50,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1991,49,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1992,48,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1993,47,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1994,46,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1995,45,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1996,45,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1997,44,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1998,43,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,1999,42,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2000,41,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2001,40,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2002,40,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2003,39,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2004,38,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2005,37,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2006,36,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2007,35,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2008,35,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2009,34,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2010,33,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2011,32,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2012,32,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2013,31,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2014,30,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2015,29,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2016,29,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2017,28,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2018,27,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2019,27,Percent
Southern Asia,Weight-for-age <-2 SD (Underweight),Total,2020,26,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,1995,11,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,1996,10,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,1997,10,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,1998,9,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,1999,9,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2000,8,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2001,8,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2002,7,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2003,7,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2004,7,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2005,6,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2006,6,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2007,5,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2008,5,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2009,5,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2010,5,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2011,4,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2012,4,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2013,4,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2014,4,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2015,3,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2016,3,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2017,3,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2018,3,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2019,3,Percent
Central Asia,Weight-for-age <-2 SD (Underweight),Total,2020,2,Percent
Australia and New Zealand,Weight-for-age <-2 SD (Underweight),Total,2015,0,Percent
Australia and New Zealand,Weight-for-age <-2 SD (Underweight),Total,2016,0,Percent
Australia and New Zealand,Weight-for-age <-2 SD (Underweight),Total,2017,0,Percent
Australia and New Zealand,Weight-for-age <-2 SD (Underweight),Total,2018,0,Percent
Australia and New Zealand,Weight-for-age <-2 SD (Underweight),Total,2019,0,Percent
Australia and New Zealand,Weight-for-age <-2 SD (Underweight),Total,2020,0,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1985,63,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1986,62,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1987,61,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1988,60,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1989,59,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1990,58,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1991,57,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1992,56,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1993,55,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1994,54,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1995,53,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1996,52,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1997,51,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1998,51,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,1999,50,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2000,49,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2001,48,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2002,47,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2003,46,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2004,45,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2005,44,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2006,43,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2007,42,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2008,41,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2009,40,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2010,39,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2011,38,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2012,37,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2013,36,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2014,35,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2015,35,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2016,34,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2017,33,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2018,32,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2019,31,Percent
Low Income Food Deficient Countries,Height-for-age <-2 SD (stunting),Total,2020,30,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1985,44,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1986,43,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1987,42,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1988,41,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1989,40,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1990,39,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1991,38,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1992,38,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1993,37,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1994,36,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1995,36,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1996,35,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1997,35,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1998,34,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,1999,33,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2000,32,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2001,32,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2002,31,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2003,30,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2004,30,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2005,29,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2006,29,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2007,28,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2008,27,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2009,27,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2010,26,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2011,25,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2012,25,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2013,24,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2014,24,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2015,23,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2016,23,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2017,22,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2018,22,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2019,21,Percent
SOFI World,Height-for-age <-2 SD (stunting),Total,2020,21,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1985,48,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1986,47,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1987,46,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1988,45,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1989,44,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1990,43,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1991,43,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1992,42,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1993,41,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1994,40,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1995,39,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1996,38,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1997,38,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1998,37,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,1999,36,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2000,35,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2001,34,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2002,34,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2003,33,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2004,32,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2005,31,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2006,31,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2007,30,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2008,29,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2009,28,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2010,28,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2011,27,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2012,26,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2013,26,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2014,25,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2015,24,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2016,24,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2017,23,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2018,23,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2019,22,Percent
Low Income Food Deficient Countries,Weight-for-age <-2 SD (Underweight),Total,2020,21,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1985,28,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1986,28,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1987,27,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1988,26,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1989,25,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1990,25,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1991,24,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1992,24,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1993,23,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1994,23,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1995,23,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1996,23,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1997,22,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1998,22,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,1999,21,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2000,21,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2001,20,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2002,20,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2003,19,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2004,19,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2005,19,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2006,18,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2007,18,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2008,17,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2009,17,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2010,16,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2011,16,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2012,16,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2013,15,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2014,15,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2015,14,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2016,14,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2017,14,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2018,13,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2019,13,Percent
SOFI World,Weight-for-age <-2 SD (Underweight),Total,2020,13,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1985,36,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1986,36,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1987,36,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1988,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1989,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1990,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1991,35,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1992,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1993,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1994,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1995,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1996,34,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1997,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1998,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,1999,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2000,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2001,33,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2002,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2003,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2004,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2005,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2006,32,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2007,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2008,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2009,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2010,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2011,31,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2012,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2013,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2014,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2015,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2016,30,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2017,29,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2018,29,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2019,29,Percent
Southern Africa,Height-for-age <-2 SD (stunting),Total,2020,29,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1985,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1986,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1987,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1988,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1989,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1990,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1991,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1992,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1993,36,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1994,37,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1995,37,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1996,37,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1997,37,Percent
Oceania excluding Australia and New Zealand,Height-for-age <-2 SD (stunting),Total,1998,37,Percent
